text,book
که خواهشگری کن به نزدیک شاه,bahram
ز کردار ما تا ببخشد گناه,bahram
که چونان بدیم از بد یزدگرد,bahram
که خون در تن نامداران فسرد,bahram
ز بس زشت گفتار و کردار اوی,bahram
ز بیدادی و درد و آزار اوی,bahram
دل ما به بهرام ازان بود سرد,bahram
که از شاه بودیم یکسر به درد,bahram
بشد منذر و شاه را کرد نرم,bahram
بگسترد پیشش سخنهای گرم,bahram
ببخشید اگر چندشان بد گناه,bahram
که با گوهر و دادگر بود شاه,bahram
بیاراست ایوان شاهنشهی,bahram
برفت آنک بودند یکسر مهی,bahram
چو جای بزرگی بپرداختند,bahram
کرا بود شایسته بنشاختند,bahram
به هر جای خوانی بیاراستند,bahram
می و رود و رامشگران خواستند,bahram
دوم روز رفتند دیگر گروه,bahram
سپهبد نیامد ز خوردن ستوه,bahram
سیم روز جشن و می و سور بود,bahram
غم از کاخ شاه جهان دور بود,bahram
بگفت آنک نعمان و منذر چه کرد,bahram
ز بهر من این پاک زاده دو مرد,bahram
همه مهتران خواندند آفرین,bahram
بران دشت آباد و مردان کین,bahram
ازان پس در گنج بگشاد شاه,bahram
به دینار و دیبا بیاراست گاه,bahram
به اسپ و سنان و به خفتان جنگ,bahram
ز خود و ز هر گوهری رنگ‌رنگ,bahram
سراسر به نعمان و منذر سپرد,bahram
جوانوی رفت آن بدیشان شمرد,bahram
کس اندازهٔ بخشش او نداشت,bahram
همان تاو با کوشش او نداشت,bahram
همان تازیان را بسی هدیه داد,bahram
از ایوان شاهی برفتند شاد,bahram
بیاورد پس خلعت خسروی,bahram
همان اسپ و هم جامهٔ پهلوی,bahram
به خسرو سپردند و بنواختش,bahram
بر گاه فرخنده بنشاختش,bahram
شهنشاه خسرو به نرسی رسید,bahram
ز تخت اندر آمد به کرسی رسید,bahram
برادرش بد یک‌دل و یک‌زبان,bahram
ازو کهتر آن نامدار جوان,bahram
ورا پهلوان کرد بر لشکرش,bahram
بدان تا به آیین بود کشورش,bahram
سپه را سراسر به نرسی سپرد,bahram
به بخشش همی پادشاهی ببرد,bahram
در گنج بگشاد و روزی بداد,bahram
سپاهش به دینار گشتند شاد,bahram
بفرمود پس تا گشسپ دبیر,bahram
بیامد بر شاه مردم پذیر,bahram
کجا بود دانا بدان روزگار,bahram
شمار جهان داشت اندر کنار,bahram
جوانوی بیدار با او بهم,bahram
که نزدیک او بد شمار درم,bahram
ز باقی که بد نزد ایرانیان,bahram
بفرمود تا بگسلد از میان,bahram
دبیران دانا به دیوان شدند,bahram
ز بهر درم پیش کیوان شدند,bahram
ز باقی که بد بر جهان سربسر,bahram
همه برگرفتند یک با دگر,bahram
نود بار و سه بار کرده شمار,bahram
به ایران درم بد هزاران هزار,bahram
ببخشید و دیوان بر آتش نهاد,bahram
همه شهر ایران بدو گشت شاد,bahram
چو آگاه شد زان سخن هرکسی,bahram
همی آفرین خواند هرکس بسی,bahram
برفتند یکسر به آتشکده,bahram
به ایوان نوروز و جشن سده,bahram
همی مشک بر آتش افشاندند,bahram
به بهرام بر آفرین خواندند,bahram
وزان پس بفرمود کارآگهان,bahram
یکی تا بگردند گرد جهان,bahram
کسی را کجا رانده بد یزدگرد,bahram
بجست و به یک شهرشان کرد گرد,bahram
بدان تا شود نامهٔ شهریار,bahram
که آزادگان را کند خواستار,bahram
فرستاد خلعت به هر مهتری,bahram
ببخشید به اندازه‌شان کشوری,bahram
رد و موبد و مرزبان هرک بود,bahram
که آواز بهرام زان سان شنود,bahram
سراسر به درگاه شاه آمدند,bahram
گشاده‌دل و نیکخواه آمدند,bahram
بفرمود تا هرک بد دادجوی,bahram
سوی موبد موبد آورد روی,bahram
چو فرمانش آمد ز گیتی به جای,bahram
منادیگری کرد بر در به پای,bahram
که ای زیردستان بیدار شاه,bahram
ز غم دور باشید و دور از گناه,bahram
وزین پس بران کس کنید آفرین,bahram
که از داد آباد دارد زمین,bahram
ز گیتی به یزدان پناهید و بس,bahram
که دارنده اویست و فریادرس,bahram
هرانکس که بگزید فرمان ما,bahram
نپیچد سر از رای و پیمان ما,bahram
برو نیکویها برافزون کنیم,bahram
ز دل کینه و آز بیرون کنیم,bahram
هرانکس که از داد بگریزد اوی,bahram
به بادآفره در بیاویزد اوی,bahram
گر ایدونک نیرو دهد کردگار,bahram
به کام دل ما شود روزگار,bahram
برین نیکویها فزایش بود,bahram
شما را بر ما ستایش بود,bahram
همه شهر ایران به گفتار اوی,bahram
برفتند شادان‌دل و تازه‌روی,bahram
بدانگه که شد پادشاهیش راست,bahram
فزون گشت شادی و انده بکاست,bahram
همه روز نخچیر بد کار اوی,bahram
دگر اسپ و میدان و چوگان و گوی,bahram
*بخش ۳*,bahram
چنان بد که روزی به نخچیر شیر,bahram
همی رفت با چند گرد دلیر,bahram
بشد پیر مردی عصایی به دست,bahram
بدو گفت کای شاه یزدان‌پرست,bahram
به راهام مردیست پرسیم و زر,bahram
جهودی فریبنده و بدگهر,bahram
به آزادگی لنبک آبکش,bahram
به آرایش خوان و گفتار خوش,bahram
بپرسید زان کهتران کاین کیند,bahram
به گفتار این پیر سر بر چیند,bahram
چنین گفت با او یکی نامدار,bahram
که ای با گهر نامور شهریار,bahram
سقاایست این لنبک آبکش,bahram
جوانمرد و با خوان و گفتار خوش,bahram
به یک نیم روز آب دارد نگاه,bahram
دگر نیمه مهمان بجوید ز راه,bahram
نماند به فردا از امروز چیز,bahram
نخواهد که در خانه باشد به نیز,bahram
به راهام بی‌بر جهودیست زفت,bahram
کجا زفتی او نشاید نهفت,bahram
درم دارد و گنج و دینار نیز,bahram
همان فرش دیبا و هرگونه چیز,bahram
منادیگری را بفرمود شاه,bahram
که شو بانگ زن پیش بازارگاه,bahram
که هرکس که از لنبک آبکش,bahram
خرد آب خوردن نباشدش خوش,bahram
همی بود تا زرد گشت آفتاب,bahram
نشست از بر باره بی‌زور و تاب,bahram
سوی خانهٔ لنبک آمد چو باد,bahram
بزد حلقه بر درش و آواز داد,bahram
که من سرکشی‌ام ز ایران سپاه,bahram
چو شب تیره شد بازماندم ز شاه,bahram
درین خانه امشب درنگم دهی,bahram
همه مردمی باشد و فرهی,bahram
ببد شاد لنبک ز آواز اوی,bahram
وزان خوب گفتار دمساز اوی,bahram
بدو گفت زود اندر آی ای سوار,bahram
که خشنود باد ز تو شهریار,bahram
اگر با تو ده تن بدی به بدی,bahram
همه یک به یک بر سرم مه بدی,bahram
فرود آمد از باره بهرامشاه,bahram
همی داشت آن باره لنبک نگاه,bahram
بمالید شادان به چیزی تنش,bahram
یکی رشته بنهاد بر گردنش,bahram
چو بنشست بهرام لنبک دوید,bahram
یکی شهره شطرنج پیش آورید,bahram
یکی کاسه آورد پر خوردنی,bahram
بیاورد هرگونه آوردنی,bahram
به بهرام گفت ای گرانمایه مرد,bahram
بنه مهره بازی از بهر خورد,bahram
بدید آنک کلنبک بدو داد شاه,bahram
بخندید و بنهاد بر پیش گاه,bahram
چو نان خورده شد میزبان در زمان,bahram
بیاورد جامی ز می شادمان,bahram
همی خورد بهرام تا گشت مست,bahram
به خوردنش آنگه بیازید دست,bahram
شگفت آمد او را ازان جشن اوی,bahram
وزان خوب گفتار وزان تازه روی,bahram
بخفت آن شب و بامداد پگاه,bahram
از آواز او چشم بگشاد شاه,bahram
چنین گفت لنبک به بهرام گور,bahram
که شب بی نوا بد همانا ستور,bahram
یک امروز مهمان من باش وبس,bahram
وگر یار خواهی بخوانیم کس,bahram
بیاریم چیزی که باید به جای,bahram
یک امروز با ما به شادی بپای,bahram
چنین گفت با آبکش شهریار,bahram
که امروز چندان نداریم کار,bahram
که ناچار ز ایدر بباید شدن,bahram
هم اینجا به نزد تو خواهم بدن,bahram
بسی آفرین کرد لنبک بروی,bahram
ز گفتار او تازه‌تر کرد روی,bahram
بشد لنبک و آب چندی کشید,bahram
خریدار آبش نیامد پدید,bahram
غمی گشت و پیراهنش درکشید,bahram
یکی آبکش را به بر برکشید,bahram
بها بستد و گوشت بخرید زود,bahram
بیامد سوی خانه چون باد و دود,bahram
بپخت و بخوردند و می خواستند,bahram
یکی مجلس دیگر آراستند,bahram
بیود آن شب تیره با می به دست,bahram
همان لنبک آبکش می‌پرست,bahram
چو شب روز شد تیز لنبک برفت,bahram
بیامد به نزدیک بهرام تفت,bahram
بدو گفت روز سیم شادباش,bahram
ز رنج و غم و کوشش آزاد باش,bahram
بزن دست با من یک امروز نیز,bahram
چنان دان که بخشیده‌ای زر و چیز,bahram
بدو گفت بهرام کین خود مباد,bahram
که روز سه دیگر نباشیم شاد,bahram
برو آبکش آفرین خواند و گفت,bahram
که بیداردل باش و با بخت جفت,bahram
به بازار شد مشک و آلت ببرد,bahram
گروگان به پرمایه مردی سپرد,bahram
خرید آنچ بایست و آمد دوان,bahram
به نزدیک بهرام شد شادمان,bahram
بدو گفت یاری ده اندر خورش,bahram
که مرد از خورشها کند پرورش,bahram
ازو بستد آن گوشت بهرام زود,bahram
برید و بر آتش خورشها فزود,bahram
چو نان خورده شد می‌گرفتند و جام,bahram
نخست از شهنشاه بردند نام,bahram
چو می خورده شد خواب را جای کرد,bahram
به بالین او شمع بر پای کرد,bahram
به روز چهارم چو بفروخت هور,bahram
شد از خواب بیدار بهرام گور,bahram
بشد میزبان گفت کای نامدار,bahram
ببودی درین خانهٔ تنگ و تار,bahram
بدین خانه اندر تن‌آسان نه‌ای,bahram
گر از شاه ایران هراسان نه‌ای,bahram
دو هفته بدین خانهٔ بی‌نوا,bahram
بباشی گر آید دلت را هوا,bahram
برو آفرین کرد بهرامشاه,bahram
که شادان و خرم بدی سال و ماه,bahram
سه روز اندرین خانه بودیم شاد,bahram
که شاهان گیتی گرفتیم یاد,bahram
به جایی بگویم سخنهای تو,bahram
که روشن شود زو دل و رای تو,bahram
که این میزبانی ترا بر دهد,bahram
چو افزون دهی تخت و افسر دهد,bahram
بیامد چو گرد اسپ را زین نهاد,bahram
به نخچیرگه رفت زان خانه شاد,bahram
همی کرد نخچیر تا شب ز کوه,bahram
برآمد سبک بازگشت از گروه,bahram
*بخش ۴*,bahram
ز پیش سواران چو ره برگرفت,bahram
سوی خان بی‌بر به راهام تفت,bahram
بزد در بگفتا که بی‌شهریار,bahram
بماندم چو او بازماند از شکار,bahram
شب آمد ندانم همی راه را,bahram
نیابم همی لشکر و شاه را,bahram
گر امشب بدین خانه یابم سپنج,bahram
نباشد کسی را ز من هیچ رنج,bahram
به پیش به راهام شد پیشکار,bahram
بگفت آنچ بشنید ازان نامدار,bahram
به راهام گفت ایچ ازین در مرنج,bahram
بگویش که ایدر نیابی سپنج,bahram
بیامد فرستاده با او بگفت,bahram
که ایدر ترا نیست جای نهفت,bahram
بدو گفت بهرام با او بگوی,bahram
کز ایدر گذشتن مرا نیست روی,bahram
همی از تو من خانه خواهم سپنج,bahram
نیارم به چیزت ازان پس به رنج,bahram
چو بشنید پویان بشد پیشکار,bahram
به نزد به راهام گفت این سوار,bahram
همی ز ایدر امشب نخواهد گذشت,bahram
سخن گفتن و رای بسیار گشت,bahram
به راهام گفتش که رو بی‌درنگ,bahram
بگویش که این جایگاهیست تنگ,bahram
جهودیست درویش و شب گرسنه,bahram
بخسپد همی بر زمین برهنه,bahram
بگفتند و بهرام گفت ار سپنج,bahram
نیابم بدین خانه آیدت رنج,bahram
بدین در بخسپم نجویم سرای,bahram
نخواهم به چیزی دگر کرد رای,bahram
به راهام گفت ای نبرده سوار,bahram
همی رنجه داری مرا خوارخوار,bahram
بخسپی و چیزت بدزدد کسی,bahram
ازان رنجه داری مرا تو بسی,bahram
به خانه درآی ار جهان تنگ شد,bahram
همه کار بی‌برگ و بی‌رنگ شد,bahram
به پیمان که چیزی نخواهی ز من,bahram
ندارم به مرگ آبچین و کفن,bahram
هم امشب ترا و نشست ترا,bahram
خورش باید و نیست چیزی مرا,bahram
گر این اسپ سرگین و آب افگند,bahram
وگر خشت این خانه را بشکند,bahram
به شبگیر سرگینش بیرون کنی,bahram
بروبی و خاکش به هامون کنی,bahram
همان خشت را نیز تاوان دهی,bahram
چو بیدار گردی ز خواب آن دهی,bahram
بدو گفت بهرام پیمان کنم,bahram
برین رنجها سر گروگان کنم,bahram
فرود آمد و اسپ را با لگام,bahram
ببست و برآهخت تیغ از نیام,bahram
نمدزین بگسترد و بالینش زین,bahram
بخفت و دو پایش کشان بر زمین,bahram
جهود آن در خانه از پس ببست,bahram
بیاورد خوان و به خوردن نشست,bahram
ازان پس به بهرام گفت ای سوار,bahram
چو این داستان بشنوی یاد دار,bahram
به گیتی هرانکس که دارد خورد,bahram
سوی مردم بی‌نوا ننگرد,bahram
بدو گفت بهرام کاین داستان,bahram
شنیدستم از گفتهٔ باستان,bahram
شنیدم به گفتار و دیدم کنون,bahram
که برخواندی از گفتهٔ رهنمون,bahram
می آورد چون خورده شد نان جهود,bahram
ازان می ورا شادمانی فزود,bahram
خروشید کای رنج‌دیده سوار,bahram
برین داستان کهن گوش‌دار,bahram
که هرکس که دارد دلش روشنست,bahram
درم پیش او چون یکی جوشنست,bahram
کسی کو ندارد بود خشک لب,bahram
چنانچون توی گرسنه نیم‌شب,bahram
بدو گفت بهرام کاین بس شگفت,bahram
به گیتی مرین یاد باید گرفت,bahram
که از جام یابی سرانجام نیک,bahram
خنک میگسار و می و جام نیک,bahram
چو از کوه خنجر برآورد هور,bahram
گریزان شد از خانه بهرام گور,bahram
بران چرمهٔ ناچران زین نهاد,bahram
چه زین از برش خشک بالین نهاد,bahram
بیامد به راهام گفت ای سوار,bahram
به گفتار خود بر کنون پای‌دار,bahram
تو گفتی که سرگین این بارگی,bahram
به جاروب روبم به یکبارگی,bahram
کنون آنچ گفتی بروب و ببر,bahram
به رنجم ز مهمان بیدادگر,bahram
بدو گفت بهرام شو پایکار,bahram
بیاور که سرگین کشد بر کنار,bahram
دهم زر که تا خاک بیرون برد,bahram
وزین خانهٔ تو به هامون برد,bahram
بدو گفت من کس ندارم که خاک,bahram
بروبد برد ریزد اندر مغاک,bahram
تو پیمان که کردی به کژی مبر,bahram
نباید که خوانمت بیدادگر,bahram
چو بشنید بهرام ازو این سخن,bahram
یکی تازه اندیشه افگند بن,bahram
یکی خوب دستار بودش حریر,bahram
به موزه درون پر ز مشک و عبیر,bahram
برون کرد و سرگین بدو کرد پاک,bahram
بینداخت با خاک اندر مغاک,bahram
به راهام را گفت کای پارسا,bahram
گر آزادیم بشنود پادشا,bahram
ترا از جهان بی‌نیازی دهد,bahram
بر مهتران سرفرازی دهد,bahram
*بخش ۵*,bahram
برفت و بیامد به ایوان خویش,bahram
همه شب همی ساخت درمان خویش,bahram
پراندیشه آن شب به ایوان بخفت,bahram
بخندید و آن راز با کس نگفت,bahram
به شبگیر چون تاج بر سر نهاد,bahram
سپه را سراسر همه بار داد,bahram
بفرمود تا لنبک آبکش,bahram
بشد پیش او دست کرده به کش,bahram
ببردند ز ایوان به راهام را,bahram
جهود بداندیش و بدکام را,bahram
چو در بارگه رفت بنشاندند,bahram
یکی پاک‌دل مرد را خواندند,bahram
بدو گفت رو بارگیها ببر,bahram
نگر تا نباشی به جز دادگر,bahram
به خان به راهام شو بر گذار,bahram
نگر تا چه بینی نهاده بیار,bahram
بشد پاک‌دل تا به خان جهود,bahram
همه خانه دیبا و دینار بود,bahram
ز پوشیدنی هم ز گستردنی,bahram
ز افگندنی و پراگندنی,bahram
یکی کاروان‌خانه بود و سرای,bahram
کزان خانه بیرون نبودیش جای,bahram
ز در و ز یاقوت و هر گوهری,bahram
ز هر بدره‌ای بر سرش افسری,bahram
که دانند موبد مر آن را شمار,bahram
ندانست کردن بس روزگار,bahram
فرستاد موبد بدانجا سوار,bahram
شتر خواست از دشت جهرم هزار,bahram
همه بار کردند و دیگر نماند,bahram
همی شاددل کاروان را براند,bahram
چو بانگ درای آمد از بارگاه,bahram
بشد مرد بینا بگفت آن به شاه,bahram
که گوهر فزون زین به گنج تو نیست,bahram
همان مانده خروار باشد دویست,bahram
بماند اندران شاه ایران شگفت,bahram
ز راز دل اندیشه‌ها برگرفت,bahram
که چندین بورزید مرد جهود,bahram
چو روزی نبودش ز ورزش چه سود,bahram
ازان صد شتروار زر و درم,bahram
ز گستردنیها و از بیش و کم,bahram
جهاندار شاه آبکش را سپرد,bahram
بشد لنبک از راه گنجی ببرد,bahram
ازان پس براهام را خواند و گفت,bahram
که ای در کمی گشته با خاک جفت,bahram
چه گویی که پیغمبرت چند زیست,bahram
چه بایست چندی به زشتی گریست,bahram
سوار آمد و گفت با من سخن,bahram
ازان داستانهای گشته کهن,bahram
که هرکس که دارد فزونی خورد,bahram
کسی کو ندارد همی پژمرد,bahram
کنون دست یازان ز خوردن بکش,bahram
ببین زین سپس خوردن آبکش,bahram
ز سرگین و زربفت و دستار و خشت,bahram
بسی گفت با سفله مرد کنشت,bahram
درم داد ناپاک دل را چهار,bahram
بدو گفت کاین را تو سرمایه‌دار,bahram
سزا نیست زین بیشتر مر ترا,bahram
درم مرد درویش را سر ترا,bahram
به ارزانیان داد چیزی که بود,bahram
خروشان همی رفت مرد جهود,bahram
*بخش ۶*,bahram
چو یوز شکاری به کار آمدش,bahram
بجنبید و رای شکار آمدش,bahram
یکی باره‌ای تیزرو بر نشست,bahram
به هامون خرامید بازی به دست,bahram
یکی بیشه پیش آمدش پردرخت,bahram
نشستنگه مردم نیک‌بخت,bahram
بسان بهشتی یکی سبز جای,bahram
ندید اندرو مردم و چارپای,bahram
چنین گفت کاین جای شیران بود,bahram
همان رزمگاه دلیران بود,bahram
کمان را به زه کرد مرد دلیر,bahram
پدید آمد اندر زمان نره شیر,bahram
یکی نعره زد شیر چون در رسید,bahram
بزد دست شاه و کمان درکشید,bahram
بزد تیر و پهلوش با دل بدوخت,bahram
دل شیر ماده بدوبر بسوخت,bahram
همان ماده آهنگ بهرام کرد,bahram
بغرید و چنگش به اندام کرد,bahram
یکی تیغ زد بر میانش سوار,bahram
فروماند جنگی دران کارزار,bahram
برون آمد از بیشه مردی کهن,bahram
زبانش گشاده به شیرین سخن,bahram
کجا نام او مهربنداد بود,bahram
ازان زخم شمشیر او شاد بود,bahram
یکی مرد دهقان یزدان‌پرست,bahram
بدان بیشه بودیش جای نشست,bahram
چو آمد بر شاه ایران فراز,bahram
برو آفرین کرد و بردش نماز,bahram
بدو گفت کای مهتر نامدار,bahram
به کام تو باد اختر روزگار,bahram
یکی مرد دهقانم ای پاک‌رای,bahram
خداوند این جا و کشت و سرای,bahram
خداوند گاو و خر و گوسفند,bahram
ز شیران شده بددل و مستمند,bahram
کنون ایزد این کار بر دست تو,bahram
برآورد بر قبضه و شست تو,bahram
زمانی درین بیشه آیی چنین,bahram
بباشی به شیر و می و انگبین,bahram
به ره هست چندانک باید به کار,bahram
درختان بارآور و سایه‌دار,bahram
فرود آمد از باره بهرامشاه,bahram
همی کرد زان بیشه جایی نگاه,bahram
که باشد زمین سبز و آب روان,bahram
چنانچون بود جای مرد جوان,bahram
بشد مهربنداد و رامشگران,bahram
بیاورد چندی ز ده مهتران,bahram
بسی گوسفندان فربه بکشت,bahram
بیامد یکی جام زرین به مشت,bahram
چو نان خورده شد جامهای نبید,bahram
نهادند پیشش گل و شنبلید,bahram
چو شد مهربنداد شادان ز می,bahram
به بهرام گفت ای گو نیک‌پی,bahram
چنان دان که ماننده‌ای شاه را,bahram
همان تخت زرین و هم‌گاه را,bahram
بدو گفت بهرام کری رواست,bahram
نگارنده بر چهرها پادشاست,bahram
چنان آفریند که خواهد همی,bahram
مر آن را گزیند که خواهد همی,bahram
اگر من همی نیک مانم به شاه,bahram
ترا دادم این بیشه و جایگاه,bahram
بگفت این و زان جایگه برنشست,bahram
به ایوان خرم خرامید مست,bahram
بخفت آن شب تیره در بوستان,bahram
همی یاد کرد از لب دوستان,bahram
*بخش ۷*,bahram
چو بنشست می خواست از بامداد,bahram
بزرگان لشکر برفتند شاد,bahram
بیامد هم‌انگه یکی مرد مه,bahram
ورا میوه آورد چندی ز ده,bahram
شتربارها نار و سیب و بهی,bahram
ز گل دسته‌ها کرده شاهنشهی,bahram
جهاندار چون دید بنواختش,bahram
میان یلان پایگه ساختش,bahram
همین مه که با میوه و بوی بود,bahram
ورا پهلوی نام کبروی بود,bahram
به روی جهاندار جام نبید,bahram
دو من را به یکبار اندر کشید,bahram
چو شد مرد خرم ز دیدار شاه,bahram
ازان نامداران و آن جشنگاه,bahram
یکی جام دیگر پر از می بلور,bahram
به دلش اندر افتاد زان جام شور,bahram
ز پیش بزرگان بیازید دست,bahram
بدان جام می تاخت و بر پای جست,bahram
به یاد شهنشاه بگرفت جام,bahram
منم گفت میخواره کبروی نام,bahram
به روی شهنشاه جام نبید,bahram
چو من درکشم یار خواهم گزید,bahram
به جام اندرون بود می پنج من,bahram
خورم هفت ازین بر سر انجمن,bahram
پس انگه سوی ده روم من به هوش,bahram
ز من نشنود کس به مستی خروش,bahram
چنان هفت جام پر از می بخورد,bahram
ازان می پرستان برآورد گرد,bahram
به دستوری شاه بیرون گذشت,bahram
که داند که می در تنش چون گذشت,bahram
وزان جای خرم بیامد به دشت,bahram
چو در سینهٔ مرد، می گرم گشت,bahram
برانگیخت اسپ از میان گروه,bahram
ز هامون همی تاخت تا پیش کوه,bahram
فرود آمد از باره جایی نهفت,bahram
یله کرد و در سایهٔ کوه خفت,bahram
ز کوه اندرآمد کلاغ سیاه,bahram
دو چشمش بکند اندران خوابگاه,bahram
همی تاختند از پس‌اندر گروه,bahram
ورا مرده دیدند بر پیش کوه,bahram
دو چشمش ز سر کنده زاغ سیاه,bahram
برش اسپ او ایستاده به راه,bahram
برو کهترانش خروشان شدند,bahram
وزان مجلس و جام جوشان شدند,bahram
چو بهرام برخاست از خوابگاه,bahram
بیامد بر او یکی نیک‌خواه,bahram
که کبروی را چشم روشن کلاغ,bahram
ز مستی بکندست در پیش راغ,bahram
رخ شهریار جهان زرد شد,bahram
ز تیمار کبروی پر درد شد,bahram
هم‌انگه برآمد ز درگه خروش,bahram
که ای نامداران با فر و هوش,bahram
حرامست می در جهان سربسر,bahram
اگر زیردستت گر نامور,bahram
*بخش ۸*,bahram
برین‌گونه بگذشت سالی تمام,bahram
همی داشتی هرکسی می حرام,bahram
همان شه چو مجلس بیاراستی,bahram
همان نامهٔ باستان خواستی,bahram
چنین بود تا کودکی کفشگر,bahram
زنی خواست با چیز و نام و گهر,bahram
نبودش دران کار افزار سخت,bahram
همی زار بگریست مامش ز بخت,bahram
همانا نهان داشت لختی نبید,bahram
پسر را بدان خانه اندر کشید,bahram
به پور جوان گفت کاین هفت جام,bahram
بخور تا شوی ایمن و شادکام,bahram
مگر بشکنی امشب آن مهر تنگ,bahram
کلنگ از نمد کی کندکان سنگ,bahram
بزد کفشگر جام می هفت و هشت,bahram
هم‌اندر زمان آتشش سخت گشت,bahram
جوانمرد را جام گستاخ کرد,bahram
بیامد در خانه سوراخ کرد,bahram
وزان جایگه شد به درگاه خویش,bahram
شده شاددل یافته راه خویش,bahram
چنان بد که از خانه شیران شاه,bahram
